date,open_price,highest_price,lowest_price,close_price,adjusted_close,volume,symbol
2023-04-14,107.69,109.58,107.59,109.46,109.46,20758686,GOOG
2023-04-14,287.0,288.48,283.69,286.14,285.521672810474,20987917,MSFT
2023-04-17,289.93,291.6,286.16,288.8,288.175924748951,23791151,MSFT
2023-04-17,103.16,103.73,101.59,102.74,102.74,39791535,AMZN
2023-04-17,105.43,106.71,105.32,106.42,106.42,28978949,GOOG
2023-04-17,165.09,165.39,164.03,165.23,165.000527168567,40713618,AAPL
2023-04-17,219.79,220.979,217.13,218.86,218.86,15411724,META
2023-04-18,291.57,291.755,287.01,288.37,287.746853946867,20161845,MSFT
2023-04-18,166.1,167.41,165.65,166.47,166.238805046004,49923008,AAPL
2023-04-18,103.95,104.2,101.52,102.3,102.3,39790518,AMZN
2023-04-18,107.0,107.05,104.78,105.12,105.12,17641369,GOOG
2023-04-18,219.91,220.44,216.21,217.89,217.89,12280984,META
2023-04-19,213.472,217.33,212.93,215.7,215.7,15898078,META
2023-04-19,104.215,105.725,103.8,105.02,105.02,16732016,GOOG
2023-04-19,285.99,289.05,284.54,288.45,287.826681072836,17150271,MSFT
2023-04-19,165.8,168.16,165.54,167.63,167.397194028123,47720166,AAPL
2023-04-19,101.58,105.12,101.39,104.3,104.3,58398890,AMZN
2023-04-20,285.25,289.03,285.08,286.11,285.491737638236,23244363,MSFT
2023-04-20,103.53,105.25,103.21,103.81,103.81,57696866,AMZN
2023-04-20,213.48,216.75,212.77,213.07,213.07,16475443,META
2023-04-20,104.65,106.8875,104.64,105.9,105.9,22515331,GOOG
2023-04-20,166.09,167.87,165.56,166.65,166.418555060471,52456377,AAPL
2023-04-21,165.05,166.4521,164.49,165.02,164.790818818355,58337341,AAPL
2023-04-21,106.09,106.64,105.485,105.91,105.91,22379018,GOOG
2023-04-21,210.21,213.41,209.58,212.89,212.89,17717166,META
2023-04-21,106.1,108.15,105.08,106.96,106.96,86774185,AMZN
2023-04-21,285.01,286.27,283.0608,285.76,285.14249396212,21676387,MSFT
2023-04-24,213.675,213.92,210.71,212.79,212.79,15750920,META
2023-04-24,165.0,165.6,163.89,165.33,165.100388287715,41949581,AAPL
2023-04-24,107.655,109.23,105.07,106.21,106.21,69575610,AMZN
2023-04-24,106.05,107.32,105.36,106.78,106.78,21410908,GOOG
